Datetime,Event,Value
2000-01-01T11:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T12:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T13:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T14:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T15:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T16:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T17:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-01T18:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T19:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-01T20:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T21:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T22:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T23:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T00:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T01:00:00,Stanford Sleepiness Self-Assessment (1-7),4
2000-01-02T02:00:00,Stanford Sleepiness Self-Assessment (1-7),4
2000-01-02T03:00:00,Stanford Sleepiness Self-Assessment (1-7),5
2000-01-02T04:00:00,Stanford Sleepiness Self-Assessment (1-7),4
2000-01-02T05:00:00,Stanford Sleepiness Self-Assessment (1-7),6
2000-01-02T06:00:00,Stanford Sleepiness Self-Assessment (1-7),7
2000-01-02T07:00:00,Stanford Sleepiness Self-Assessment (1-7),5
2000-01-02T08:00:00,Stanford Sleepiness Self-Assessment (1-7),4
2000-01-02T09:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T10:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T11:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T11:03:00,Sleep-2-Peak Reaction Time (ms),305
2000-01-02T10:04:00,Sleep-2-Peak Reaction Time (ms),303
2000-01-02T09:05:00,Sleep-2-Peak Reaction Time (ms),267
2000-01-02T08:02:00,Sleep-2-Peak Reaction Time (ms),248
2000-01-02T07:06:00,Sleep-2-Peak Reaction Time (ms),333
2000-01-02T06:04:00,Sleep-2-Peak Reaction Time (ms),405
2000-01-02T05:05:00,Sleep-2-Peak Reaction Time (ms),299
2000-01-02T04:08:00,Sleep-2-Peak Reaction Time (ms),323
2000-01-02T03:02:00,Sleep-2-Peak Reaction Time (ms),298
2000-01-02T02:03:00,Sleep-2-Peak Reaction Time (ms),319
2000-01-02T01:03:00,Sleep-2-Peak Reaction Time (ms),272
2000-01-02T00:08:00,Sleep-2-Peak Reaction Time (ms),290
2000-01-01T23:04:00,Sleep-2-Peak Reaction Time (ms),386
2000-01-01T22:04:00,Sleep-2-Peak Reaction Time (ms),278
2000-01-01T21:03:00,Sleep-2-Peak Reaction Time (ms),269
2000-01-01T20:03:00,Sleep-2-Peak Reaction Time (ms),230
2000-01-01T19:02:00,Sleep-2-Peak Reaction Time (ms),254
2000-01-01T18:09:00,Sleep-2-Peak Reaction Time (ms),238
2000-01-01T17:06:00,Sleep-2-Peak Reaction Time (ms),239
2000-01-01T16:03:00,Sleep-2-Peak Reaction Time (ms),282
2000-01-01T15:04:00,Sleep-2-Peak Reaction Time (ms),282
2000-01-01T14:02:00,Sleep-2-Peak Reaction Time (ms),287
2000-01-01T13:02:00,Sleep-2-Peak Reaction Time (ms),269
2000-01-01T12:02:00,Sleep-2-Peak Reaction Time (ms),314
2000-01-01T11:03:00,Sleep-2-Peak Reaction Time (ms),335
2000-01-01T12:09:00,Diary Entry (text),Lunchtime
2000-01-01T12:40:00,Diary Entry (text),Back from lunch
2000-01-01T15:06:00,Diary Entry (text),Smoking
2000-01-01T15:25:00,Diary Entry (text),Back in action
2000-01-01T16:03:00,Diary Entry (text),Break
2000-01-01T16:45:00,Diary Entry (text),Back in action
2000-01-01T17:00:00,Diary Entry (text),Break - earpiece repaire
2000-01-01T18:05:00,Diary Entry (text),Back in action
2000-01-01T20:00:00,Diary Entry (text),Broken earpiece and dinner
2000-01-01T22:00:00,Diary Entry (text),Back in action
2000-01-01T22:10:00,Diary Entry (text),False start - broken computer
2000-01-01T22:22:00,Diary Entry (text),Back in action
2000-01-01T23:40:00,Diary Entry (text),Move and play Mario Kart
2000-01-02T01:35:00,Diary Entry (text),"Moved back to desk for ""Butter the Toast"" jam"
2000-01-02T03:00:00,Diary Entry (text),Excited to watch trash TV that husband denies me of
2000-01-02T04:35:00,Diary Entry (text),Toilet
2000-01-02T04:42:00,Diary Entry (text),Back in action
2000-01-02T08:30:00,Diary Entry (text),Toilet
2000-01-02T08:45:00,Diary Entry (text),Back in action
2000-01-02T11:00:00,Diary Entry (text),Party time
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
